VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3426,Southern Atlantic Coastal Plain Dune and Maritime Grassland,2426,He Southern Atlantic Coastal Plain Dune and Maritime Grassland,Herb,654,Grassland,Atlantic Dunes and Grasslands,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3435,East Gulf Coastal Plain Dune and Coastal Grassland,2435,He East Gulf Coastal Plain Dune and Coastal Grassland,Herb,654,Grassland,Atlantic Dunes and Grasslands,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3437,Central and Upper Texas Coast Dune and Coastal Grassland,2437,He Central and Upper Texas Coast Dune and Coastal Grassland,Herb,654,Grassland,Atlantic Dunes and Grasslands,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3440,Tamaulipan Clay Grassland,2440,He Tamaulipan Clay Grassland,Herb,617,Grassland,Grassland,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3443,South Texas Dune and Coastal Grassland,2443,He South Texas Dune and Coastal Grassland,Herb,654,Grassland,Atlantic Dunes and Grasslands,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3439,South Texas Lomas,2439,He South Texas Lomas,Herb,617,Grassland,Grassland,SRM 726: Cordgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,171,87,1,0.670588,0.341176
3390,Tamaulipan Mixed Deciduous Thornscrub,2390,Sh Tamaulipan Mixed Deciduous Thornscrub,Shrub,613,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3391,Tamaulipan Mesquite Upland Tree,2391,Tr Tamaulipan Mesquite Upland Scrub,Tree,624,Shrubland,Mesquite Woodland and Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3392,Tamaulipan Calcareous Thornscrub,2392,Sh Tamaulipan Calcareous Thornscrub,Shrub,613,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3438,Tamaulipan Savanna Grassland,2438,He Tamaulipan Savanna Grassland,Herb,617,Grassland,Grassland,SRM 728: Mesquite-Ganjeno-Acacia,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569,0.203922,0.133333
3560,Tamaulipan Mesquite Upland Shrub,2391,Tr Tamaulipan Mesquite Upland Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3076,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,2076,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.34902
3095,Apacherian-Chihuahuan Mesquite Upland Scrub,2095,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,Shrub,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.34902
3111,Western Great Plains Mesquite Woodland,2111,Tr Western Great Plains Mesquite Woodland and Shrubland,Tree,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.34902
